name,final,coryat,right,wrong,uid,playerid
Tom,11000,8900,21,2,247,537
Gina,1,900,6,2,247,536
Tom,6799,17200,25,1,248,538
Graham,100,8600,11,4,248,539
Bruce,21600,14200,14,0,248,540
Fred,5500,10000,33,3,249,518
Karen,-2400,-400,3,5,249,542
Scott,50,5100,14,2,249,541
Bob,13600,17200,23,2,250,545
Matt,35601,17800,22,1,250,544
Kurt,5500,2200,5,2,250,543
Chuck,14500,10500,24,0,251,534
Ayofemi,3000,3900,16,8,251,547
Mike,-600,1200,11,5,251,546
Michael,13201,7100,20,2,252,394
Brien,13200,6500,16,3,252,549
Cindy,11600,5800,16,1,252,548
Dan,16800,7200,20,1,253,385
Atish,16800,8100,21,3,253,551
Janet,3800,3800,11,2,253,550
Dan,14900,6800,23,5,254,385
Atish,1199,8100,23,3,254,551
Karen,6903,3900,10,1,254,552
Paul,10400,5400,12,2,255,555
April,22801,16800,22,4,255,554
Larry,5400,11400,16,0,255,553
Dan,7100,9900,23,2,256,385
Beth,6200,3200,11,2,256,557
Wayne,2,6500,18,4,256,556
Dan,24000,16800,34,1,257,385
Barbara,100,1300,7,1,257,559
Hap,2700,3800,15,3,257,558
Lan,26850,21000,24,1,258,562
Andrew,2000,13400,16,1,258,561
Dave,0,6000,9,1,258,560
Dave,17599,22600,29,3,259,565
Mark,2799,2400,6,4,259,564
Paul,22802,14000,17,0,259,563
Lara,11200,11200,20,4,260,568
Michael,9109,9200,15,3,260,567
Bill,6799,17600,18,3,260,566
Kim,3200,7300,22,1,261,571
Victoria,1600,1600,8,2,261,570
Paul,14401,9400,19,3,261,569
Josh,25600,12800,20,2,262,574
Trevor,15600,7200,11,2,262,573
Phil,25601,22400,21,4,262,572
Scott,21300,10800,26,0,263,577
Kimberly,6400,5800,19,5,263,576
Franco,0,6200,14,2,263,575
Frank,15000,10500,23,2,264,262
Dan,0,3300,8,0,264,579
Bill,1,6200,21,4,264,578
Frank,18399,11600,26,1,265,262
