game,show,date
4191,6613,2013-05-22
4192,2174,1994-02-03
4193,6614,2013-05-23
4194,6615,2013-05-24
4195,6617,2013-05-28
4196,6616,2013-05-27
4197,6618,2013-05-29
4198,6619,2013-05-30
4199,6620,2013-05-31
4200,6621,2013-06-03
4201,6622,2013-06-04
4202,6623,2013-06-05
4203,6624,2013-06-06
4204,6625,2013-06-07
4205,2713,1996-05-22
4206,2731,1996-06-17
4207,6627,2013-06-11
4208,6626,2013-06-10
4209,2732,1996-06-18
4210,6628,2013-06-12
4211,6629,2013-06-13
4212,6630,2013-06-14
4213,589,1987-03-12
4214,590,1987-03-13
4215,6631,2013-06-17
4216,6632,2013-06-18
4217,591,1987-03-16
4218,6633,2013-06-19
4219,592,1987-03-17
4220,593,1987-03-18
4221,6634,2013-06-20
4222,6635,2013-06-21
4223,2114,1993-11-11
4224,2113,1993-11-10
4225,2111,1993-11-08
4226,2115,1993-11-12
4227,2374,1994-12-22
4228,6636,2013-06-24
4229,6637,2013-06-25
4230,414,1986-04-10
4231,6638,2013-06-26
4232,2590,1995-12-01
4233,261,1985-09-09
4234,6639,2013-06-27
4235,6640,2013-06-28
4236,655,1987-06-12
4237,6641,2013-07-01
4238,2042,1993-06-22
4239,6642,2013-07-02
4240,549,1987-01-15
4241,4355,2003-07-04
4242,6643,2013-07-03
4243,6644,2013-07-04
4244,560,1987-01-30
4245,6645,2013-07-05
4247,550,1987-01-16
4248,6646,2013-07-08
4249,70,1984-12-14
4250,6648,2013-07-10
4251,297,1985-10-29
4252,6647,2013-07-09
4253,6649,2013-07-11
4254,335,1985-12-20
4255,6650,2013-07-12
4257,6651,2013-07-15
4258,336,1985-12-23
4259,6652,2013-07-16
4260,337,1985-12-24
4261,316,1985-11-25
4262,6653,2013-07-17
4263,6654,2013-07-18
4265,524,1986-12-11
4266,6655,2013-07-19
4267,327,1985-12-10
4268,6656,2013-07-22
4269,352,1986-01-14
4270,6657,2013-07-23
4272,1378,1990-09-05
4274,6658,2013-07-24
4275,623,1987-04-29
4276,6660,2013-07-26
4277,441,1986-05-19
4278,6661,2013-07-29
4279,382,1986-02-25
4280,6662,2013-07-30
4281,383,1986-02-26
4282,641,1987-05-25
4283,709,1987-10-08
4285,6663,2013-07-31
4286,726,1987-11-02
4287,6665,2013-08-02
4288,1121,1989-06-19
4289,945,1988-10-14
4290,1021,1989-01-30
4291,1022,1989-01-31
4292,1023,1989-02-01
4293,6659,2013-07-25
4294,6664,2013-08-01
4295,1024,1989-02-02
4296,1025,1989-02-03
4297,1000,1988-12-30
4298,999,1988-12-29
4299,1565,1991-05-24
4300,1709,1992-01-23
4301,1301,1990-04-09
4302,1019,1989-01-26
4303,1303,1990-04-11
4304,1304,1990-04-12
4305,2298,1994-09-07
4306,1719,1992-02-06
4307,523,1986-12-10
4308,6666,2013-09-16
4309,6667,2013-09-17
4310,6668,2013-09-18
4311,6670,2013-09-20
4312,6669,2013-09-19
4313,6671,2013-09-23
4314,6672,2013-09-24
4315,6673,2013-09-25
4316,6674,2013-09-26
4317,6675,2013-09-27
4318,6676,2013-09-30
4319,6677,2013-10-01
4320,6680,2013-10-04
4321,6682,2013-10-08
4322,6678,2013-10-02
4323,6679,2013-10-03
4324,6685,2013-10-11
4325,6683,2013-10-09
4326,6686,2013-10-14
4327,6684,2013-10-10
4328,6687,2013-10-15
4329,6688,2013-10-16
4330,6689,2013-10-17
4331,6690,2013-10-18
4332,6691,2013-10-21
4333,6692,2013-10-22
4334,6681,2013-10-07
4335,6693,2013-10-23
4336,6694,2013-10-24
4337,6695,2013-10-25
4338,6696,2013-10-28
4339,6697,2013-10-29
4340,6698,2013-10-30
4341,6699,2013-10-31
4342,6700,2013-11-01
4343,6701,2013-11-04
4344,6702,2013-11-05
4345,6703,2013-11-06
4346,6704,2013-11-07
4347,6705,2013-11-08
4348,6706,2013-11-11
4349,6707,2013-11-12
4350,6708,2013-11-13
4351,6709,2013-11-14
4352,6710,2013-11-15
4353,6711,2013-11-18
4354,6712,2013-11-19
4355,6713,2013-11-20
4356,6714,2013-11-21
4358,6716,2013-11-25
4359,6717,2013-11-26
4360,6718,2013-11-27
4361,6719,2013-11-28
4362,6720,2013-11-29
4363,6721,2013-12-02
4364,6722,2013-12-03
4365,6723,2013-12-04
4366,6724,2013-12-05
4367,6725,2013-12-06
4368,6726,2013-12-09
4369,6727,2013-12-10
4370,6728,2013-12-11
4371,6729,2013-12-12
4372,6730,2013-12-13
4373,6731,2013-12-16
4374,6733,2013-12-18
4375,6732,2013-12-17
4376,6734,2013-12-19
4377,6735,2013-12-20
4378,6736,2013-12-23
4379,6738,2013-12-25
