"name","final","coryat","right","wrong","uid"
"Vincent",28400,15200,20,5,6111
"Courtney",7000,8600,11,1,6111
"Nancy",16300,8200,11,1,6112
"Evelyn",27601,18800,23,5,6112
"Jordan",26800,10600,16,5,6112
"Evelyn",24801,15200,17,3,6113
"Michael",19990,7800,17,6,6113
"Katie!",16400,9600,15,3,6113
"Evelyn",6100,6600,13,4,6114
"Andrew",19601,13600,22,8,6114
"Barbara",13600,9800,15,4,6114
"Andrew",4600,4600,16,4,6115
"Carl",12799,13600,14,0,6115
"Doug",16000,17200,20,2,6115
"Doug",5999,13200,24,2,6116
"Cody",4001,11800,19,2,6116
"Kirsten",0,1600,8,6,6116
"Doug",30800,20400,30,5,6117
"Maggie",534,400,10,5,6117
"Susan",4200,6200,9,1,6117
"Doug",22600,12600,23,5,6118
"Kian",14000,11600,9,0,6118
"Sara",32700,14600,20,2,6118
"Sara",20150,10200,11,1,6119
"Maureen",10200,10200,16,3,6119
"Adam",25706,20800,25,2,6119
"Adam",2799,17200,21,2,6120
"Alex",20798,19600,25,3,6120
"Lee",16399,8200,11,0,6120
"Alex",18881,18600,24,2,6121
"Jen",4199,11600,14,1,6121
"Greg",4699,6800,12,3,6121
"Alex",25200,25800,30,4,6122
"Mary",50,7400,14,5,6122
"Chris",10960,7800,10,0,6122
"Alex",28001,20000,22,3,6123
"Patrick",11800,12800,17,2,6123
"Kristina",1999,8000,11,0,6123
"Alex",20601,10600,18,1,6124
"Ryan",20399,14800,21,7,6124
"Alan",21201,9800,13,3,6124
"Alan",30399,29600,31,2,6125
"Sarah",16400,12000,17,2,6125
"Tosh",3000,3000,6,2,6125
"Alan",19201,18000,24,3,6126
"Hila",300,6800,9,2,6126
"Prairie",17750,15600,21,3,6126
"Alan",16401,10600,19,4,6127
"Allison",2599,8200,9,0,6127
"Julie",1,6200,13,4,6127
"Alan",33600,13200,17,2,6128
"Jessica",399,15600,21,1,6128
"Mark",9400,9400,15,1,6128
"Alan",25200,12600,17,1,6129
"Erik",25201,11800,22,4,6129
"Herschel",9950,8800,11,3,6129
"Erik",14800,20400,25,2,6130
"Mike",100,1200,5,1,6130
"Joanna",3666,1600,12,4,6130
"Erik",26801,15600,19,4,6131
"Traci",26800,14000,17,3,6131
"Patrick",8500,5000,13,5,6131
"Erik",8999,14600,21,2,6132
"Hannah",20200,9800,14,2,6132
"Rock",2300,4200,12,7,6132
"Hannah",4899,8800,12,2,6133
"Jill",5999,13800,20,4,6133
"Dhruv",17600,10400,18,5,6133
"Dhruv",1,10800,15,3,6134
"Tori",2198,13800,19,2,6134
"Todd",0,12800,15,1,6134
"Tori",19601,17800,22,2,6135
"Soyia",19598,9000,13,1,6135
"Neill",19600,9800,14,2,6135
